,precision,recall,f1-score,support
American,0.3333333333333333,0.2857142857142857,0.3076923076923077,70.0
Asian,0.09090909090909091,0.05263157894736842,0.06666666666666667,19.0
Bakery,0.2948717948717949,0.14838709677419354,0.19742489270386265,155.0
Beverages,0.1,0.05,0.06666666666666667,20.0
Biryani,0.0,0.0,0.0,28.0
Burger,0.18181818181818182,0.06896551724137931,0.1,29.0
Cafe,0.3625,0.18831168831168832,0.24786324786324787,154.0
Chinese,0.15,0.014018691588785047,0.02564102564102564,214.0
Continental,0.13333333333333333,0.03389830508474576,0.05405405405405406,59.0
Desserts,0.2727272727272727,0.08108108108108109,0.125,37.0
European,0.0,0.0,0.0,15.0
Fast Food,0.24615384615384617,0.09523809523809523,0.13733905579399142,168.0
Finger Food,0.21428571428571427,0.15789473684210525,0.18181818181818182,19.0
Healthy Food,0.0,0.0,0.0,14.0
Ice Cream,0.09523809523809523,0.044444444444444446,0.06060606060606061,45.0
Indian,0.46153846153846156,0.46153846153846156,0.46153846153846156,13.0
Italian,0.07692307692307693,0.01694915254237288,0.027777777777777776,59.0
Japanese,0.09090909090909091,0.05555555555555555,0.06896551724137931,18.0
Mexican,0.0625,0.06666666666666667,0.06451612903225806,15.0
Mithai,0.22580645161290322,0.22580645161290322,0.22580645161290322,62.0
Mughlai,0.0,0.0,0.0,54.0
North Indian,0.40967544396815675,0.8943850267379679,0.5619487610247795,748.0
Pizza,0.3333333333333333,0.06896551724137931,0.11428571428571428,58.0
Raw Meats,0.2857142857142857,0.07407407407407407,0.11764705882352941,27.0
Seafood,0.2857142857142857,0.16666666666666666,0.21052631578947367,12.0
South Indian,0.0,0.0,0.0,66.0
Street Food,0.3469387755102041,0.288135593220339,0.3148148148148148,59.0
accuracy,0.3674564148413053,0.3674564148413053,0.3674564148413053,0.3674564148413053
macro avg,0.18719347658868374,0.13108624767127997,0.13846663560915395,2237.0
weighted avg,0.27631969682669877,0.3674564148413053,0.27423224120325657,2237.0
