,Actual,Predicted,count
79,Chinese,North Indian,176
112,Fast Food,North Indian,114
64,Cafe,North Indian,101
32,Bakery,North Indian,97
211,South Indian,North Indian,51
169,Mughlai,North Indian,47
86,Continental,North Indian,44
194,Pizza,North Indian,41
160,Mithai,North Indian,35
144,Italian,North Indian,35
127,Ice Cream,North Indian,31
39,Biryani,North Indian,26
12,American,North Indian,26
196,Raw Meats,North Indian,23
218,Street Food,North Indian,19
217,Street Food,Mithai,15
96,Desserts,North Indian,15
117,Finger Food,North Indian,14
37,Beverages,North Indian,14
49,Burger,North Indian,14
