Cluster,Restaurant Count,Average Rating,Average Price,Dominant Cuisine
0,6,2.8666666666666667,1.1666666666666667,North Indian
1,22,0.5681818181818182,1.2272727272727273,North Indian
2,12,1.2666666666666666,1.25,Street Food
3,20,1.605,1.3,North Indian
4,42,1.6619047619047618,1.7142857142857142,North Indian
5,8,1.4625,1.375,Fast Food
6,5,1.2,1.6,North Indian
7,13,2.069230769230769,1.3076923076923077,North Indian
8,28,3.457142857142857,1.4642857142857142,North Indian
9,16,1.5125,1.1875,North Indian
10,10,2.63,1.6,North Indian
11,7,0.8714285714285713,1.4285714285714286,North Indian
12,8,1.0875,1.625,North Indian
13,6,2.4499999999999997,1.1666666666666667,North Indian
14,11,3.1727272727272724,1.7272727272727273,North Indian
