Cluster,Restaurant Count,Average Rating,Average Price,Dominant Cuisine
0,233,1.0171673819742488,1.3776824034334765,North Indian
1,179,3.3553072625698324,1.9832402234636872,North Indian
2,400,2.2495,1.415,North Indian
3,101,1.4405940594059405,1.9306930693069306,North Indian
4,18,3.066666666666667,1.7222222222222223,North Indian
5,49,3.2918367346938777,1.836734693877551,North Indian
6,942,2.8535031847133756,1.7664543524416136,North Indian
7,30,3.5933333333333333,2.2333333333333334,North Indian
8,33,3.0757575757575757,1.2424242424242424,North Indian
9,150,2.536,1.3266666666666667,North Indian
10,43,3.0093023255813955,1.7209302325581395,North Indian
11,82,2.8646341463414635,1.548780487804878,North Indian
12,215,3.4548837209302325,2.6372093023255814,North Indian
13,45,2.697777777777778,2.022222222222222,North Indian
14,26,3.042307692307692,2.230769230769231,Chinese
15,5,2.8600000000000003,2.0,North Indian
16,87,3.5160919540229885,1.8735632183908046,Cafe
17,10,2.7800000000000002,2.9,North Indian
18,100,1.912,1.28,North Indian
19,11,0.24545454545454548,1.4545454545454546,North Indian
20,407,2.5538083538083542,1.574938574938575,North Indian
21,11,2.709090909090909,2.4545454545454546,Chinese
22,6,1.55,1.0,Bakery
23,73,2.493150684931507,1.7534246575342465,North Indian
24,64,1.64375,1.484375,North Indian
25,256,2.22578125,1.359375,North Indian
26,63,3.3253968253968256,1.4285714285714286,North Indian
27,24,3.0875,1.375,Chinese
28,63,2.471428571428571,1.2380952380952381,North Indian
29,8,3.1375,2.625,North Indian
30,207,2.97536231884058,1.565217391304348,North Indian
31,83,2.4445783132530123,1.4698795180722892,North Indian
32,66,2.2015151515151516,1.4696969696969697,North Indian
33,55,3.5945454545454543,2.9272727272727272,Cafe
34,65,2.3615384615384616,1.5692307692307692,North Indian
35,7,2.1285714285714286,1.1428571428571428,North Indian
36,44,2.934090909090909,1.8636363636363635,North Indian
37,115,2.803478260869565,1.617391304347826,North Indian
38,9,1.7999999999999998,1.2222222222222223,North Indian
39,11,3.8,2.272727272727273,North Indian
40,20,0.475,1.3,Fast Food
41,24,0.5166666666666667,1.2916666666666667,Tibetan
42,47,2.370212765957447,1.297872340425532,North Indian
43,24,1.3708333333333333,1.0416666666666667,North Indian
44,33,1.893939393939394,1.303030303030303,North Indian
45,8,1.4875,1.125,North Indian
46,18,0.1611111111111111,1.2222222222222223,North Indian
47,10,3.0100000000000002,1.4,North Indian
48,48,2.1458333333333335,1.6458333333333333,North Indian
49,43,1.6906976744186046,1.2790697674418605,Chinese
50,37,0.07837837837837838,1.054054054054054,North Indian
51,6,0.0,1.0,Mughlai
52,20,0.0,1.05,North Indian
53,44,1.4159090909090908,1.1818181818181819,North Indian
54,20,0.825,1.3,North Indian
55,11,2.7818181818181817,1.3636363636363635,Mughlai
56,5,0.0,1.0,North Indian
57,58,2.8913793103448273,1.7413793103448276,North Indian
58,43,0.7441860465116279,1.2325581395348837,North Indian
59,7,0.41428571428571426,1.0,Street Food
60,9,0.7111111111111111,1.6666666666666667,Burger
61,15,0.38666666666666666,1.1333333333333333,North Indian
62,21,3.0142857142857142,1.7142857142857142,North Indian
63,7,3.5,1.8571428571428572,North Indian
64,21,3.3666666666666667,1.7619047619047619,North Indian
65,35,3.44,2.0285714285714285,North Indian
66,20,0.43499999999999994,1.15,North Indian
67,5,1.4,1.4,Mughlai
68,8,1.5125,1.125,North Indian
69,23,1.173913043478261,1.0869565217391304,Mithai
70,29,2.1655172413793102,1.1724137931034482,North Indian
71,14,0.8285714285714285,1.1428571428571428,North Indian
72,7,3.7142857142857144,3.857142857142857,Cafe
73,21,2.080952380952381,1.0476190476190477,North Indian
74,30,1.6400000000000001,1.1,North Indian
75,18,3.411111111111111,2.0,Chinese
76,11,3.772727272727273,2.3636363636363638,Continental
77,52,2.944230769230769,1.3269230769230769,North Indian
