Cluster,Restaurant Count,Average Rating,Average Price,Dominant Cuisine
0,9,2.7555555555555555,1.4444444444444444,Chinese
1,46,2.073913043478261,1.6956521739130435,North Indian
2,425,2.5348235294117645,1.748235294117647,North Indian
3,93,0.6559139784946236,1.3225806451612903,North Indian
4,37,1.8702702702702703,1.4864864864864864,Fast Food
5,100,1.7169999999999999,1.4,North Indian
6,5,2.7199999999999998,2.4,Continental
7,19,2.7736842105263158,1.894736842105263,North Indian
8,25,1.96,1.52,North Indian
9,9,1.5,1.2222222222222223,Cafe
10,30,1.77,1.6,North Indian
11,7,1.2428571428571427,1.1428571428571428,North Indian
12,8,0.75,1.0,Chinese
13,73,1.7794520547945207,1.6575342465753424,North Indian
14,95,2.3705263157894736,1.6105263157894736,North Indian
15,38,1.4710526315789474,1.394736842105263,North Indian
16,10,1.1800000000000002,1.5,Fast Food
