City,North Indian,Chinese,Fast Food,Bakery,Cafe,American,South Indian,Mithai,Street Food,Continental
New Delhi,33.76575918143614,10.396491869175954,8.149095560021925,7.253791339302028,5.444911383153663,1.3520920884341312,3.361958706376759,3.398501735793898,3.435044765211036,2.0464096473597664
Gurgaon,32.826475849731665,8.318425760286226,5.366726296958855,8.49731663685152,6.529516994633274,2.146690518783542,2.23613595706619,2.146690518783542,2.23613595706619,3.8461538461538463
Noida,40.09259259259259,9.074074074074074,9.074074074074074,8.055555555555555,6.018518518518518,2.037037037037037,2.037037037037037,1.7592592592592593,1.1111111111111112,1.9444444444444444
Faridabad,40.63745019920319,8.366533864541832,9.9601593625498,9.56175298804781,5.9760956175298805,1.1952191235059761,1.9920318725099602,6.374501992031872,1.593625498007968,0.0
Ghaziabad,36.0,8.0,12.0,4.0,12.0,0.0,8.0,0.0,0.0,0.0
Bhubaneshwar,23.809523809523807,23.809523809523807,4.761904761904762,0.0,28.57142857142857,0.0,0.0,0.0,0.0,0.0
Lucknow,28.57142857142857,0.0,0.0,0.0,38.095238095238095,0.0,0.0,0.0,0.0,4.761904761904762
Ahmedabad,33.33333333333333,4.761904761904762,4.761904761904762,0.0,19.047619047619047,0.0,0.0,0.0,0.0,14.285714285714285
Amritsar,71.42857142857143,0.0,9.523809523809524,0.0,4.761904761904762,0.0,0.0,4.761904761904762,4.761904761904762,0.0
Guwahati,14.285714285714285,23.809523809523807,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,23.809523809523807
Rio de Janeiro,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Bras�_lia,0.0,0.0,5.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0
Albany,0.0,10.0,5.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
Doha,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Cape Town,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
Manchester,0.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
London,0.0,10.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
Edinburgh,0.0,0.0,0.0,5.0,15.0,10.0,0.0,0.0,0.0,0.0
Birmingham,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Wellington City,0.0,0.0,5.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0
